indicator,currency,Unit,Date,Value,Year_x,Month_x,Year_y,Month_y,All Items (Year on Change),All Items (12 Months Avg. Change),Food (Year on Change)/1,Food (12 Months Avg. Change)/1
Central Rate,US Dollar,Nigerian Naira,2022-08-01,419.972727272727,2022,8,2022,8,20.52,17.07,23.12,19.02
Central Rate,US Dollar,Nigerian Naira,2022-09-01,428.749523809524,2022,9,2022,9,20.77,17.43,23.34,19.36
Central Rate,US Dollar,Nigerian Naira,2022-10-01,436.115555555556,2022,10,2022,10,21.09,17.86,23.72,19.83
Central Rate,US Dollar,Nigerian Naira,2022-11-01,441.879272727273,2022,11,2022,11,21.47,18.37,24.13,20.41
Central Rate,US Dollar,Nigerian Naira,2022-12-01,445.9705,2022,12,2022,12,21.34,18.85,23.75,20.94
Central Rate,US Dollar,Nigerian Naira,2023-01-01,454.970476190476,2023,1,2023,1,21.82,19.36,24.32,21.53
Central Rate,US Dollar,Nigerian Naira,2023-02-01,460.426,2023,2,2023,2,21.91,19.87,24.35,22.12
Central Rate,US Dollar,Nigerian Naira,2023-03-01,460.431363636364,2023,3,2023,3,22.04,20.37,24.45,22.72
Central Rate,US Dollar,Nigerian Naira,2023-04-01,460.4175,2023,4,2023,4,22.22,20.82,24.61,23.22
Central Rate,US Dollar,Nigerian Naira,2023-05-01,460.702380952381,2023,5,2023,5,22.41,21.2,24.82,23.65
Central Rate,US Dollar,Nigerian Naira,2023-06-01,607.748888888889,2023,6,2023,6,22.79,21.54,25.25,24.03
Central Rate,US Dollar,Nigerian Naira,2023-07-01,769.816523809524,2023,7,2023,7,24.08,21.92,26.98,24.46
